adsh,Risk Factors,Label 1,Label 1 - details,Label 2,Label 2 - details
0000950170-23-002759,"We may be unable to obtain financing on reasonable terms needed to refinance debt, fund planned capital expenditures or otherwise execute our operating strategy.",credit risk,,,
0000950170-23-002759,Our use of derivative financial instruments as hedges against commodity prices and financial market risks could result in material financial losses.,market risk,Interest rate fluctuation,,
0000950170-23-002759,We have a holding company corporate structure with multiple subsidiaries.? Corporate dividends and debt payments are dependent upon cash distributions to the holding company from the subsidiaries.,credit risk,,,
0000950170-23-002759,"We may be unable to obtain insurance coverage, and the coverage we currently have may not apply or may be insufficient to cover a significant loss.",business risk,Reinsurance,,
0000950170-23-002759,Market performance or changes in key valuation assumptions could require us to make significant unplanned contributions to our pension plan and other postretirement benefit plans.,market risk,,,
0000950170-23-002759,Costs associated with our healthcare plans and other benefits could increase significantly.,other risk,Interest conflict,,
0001031296-23-000014,Risks Associated with Damage to Our Reputation and HB 6 Related Litigation and Investigations,legal and regulatory risk,,,
0001031296-23-000014,Risks Associated with the Execution of Recently Announced Strategic Initiatives,strategy risk,,,
0001031296-23-000014,Risks Associated with Regulation of Our Distribution and Transmission Segments,operational risk,Internal control,,
0001031296-23-000014,Risks Related to Business Operations Generally,business risk,,,
0001031296-23-000014,Risks Associated with Environmental Matters,other risk,Environment,,
0001031296-23-000014,Risks Associated with Climate Change Matters,other risk,Weather,,
0001031296-23-000014,Risks Associated with Markets and Financial Matters,market risk,Market Dynamics and Volatility,,
0000077159-23-000003,Risks Associated with our General Business,business risk,,,
0000077159-23-000003,Financial and Related Risks,other risk,,,
0000077159-23-000003,Legal and Regulatory Risks,legal and regulatory risk,,,
